delay,fs,period,n_period
1.6,192000,64,2
2,192000,64,2
2.1,192000,64,2
1.3,192000,64,2
1.7,192000,64,2
2,192000,64,2
2.1,192000,64,2
1.9,192000,64,2
1.6,192000,64,2
1.6,192000,64,2
1.2,192000,64,2
1.6,192000,64,2
2.2,192000,64,2
1.9,192000,64,2
1.5,192000,64,2
1.9,192000,64,2
1.6,192000,64,2
1.9,192000,64,2
1.7,192000,64,2
1.5,192000,64,2
2.2,192000,64,2
1.9,192000,64,2
2.1,192000,64,2
1.8,192000,64,2
1.5,192000,64,2
1.7,192000,64,2
1.5,192000,64,2
1.3,192000,64,2
1.4,192000,64,2
1.9,192000,64,2
1.8,192000,64,2
1.4,192000,64,2
1.3,192000,64,2
1.6,192000,64,2
1.7,192000,64,2
1.4,192000,64,2
1.7,192000,64,2
2,192000,64,2
1.5,192000,64,2
2.1,192000,64,2
2.2,192000,64,2
2.1,192000,64,2
1.3,192000,64,2
1.5,192000,64,2
2,192000,64,2
1.8,192000,64,2
1.8,192000,64,2
1.7,192000,64,2
2,192000,64,2
2.1,192000,64,2
1.6,192000,64,2
2.2,192000,64,2
1.6,192000,64,2
1.9,192000,64,2
2,192000,64,2
1.4,192000,64,2
1.6,192000,64,2
2.1,192000,64,2
2,192000,64,2
1.8,192000,64,2
1.7,192000,64,2
1.7,192000,64,2
1.4,192000,64,2
1.3,192000,64,2
1.9,192000,64,2
1.8,192000,64,2
2,192000,64,2
2.1,192000,64,2
1.7,192000,64,2
1.4,192000,64,2
1.2,192000,64,2
1.4,192000,64,2
2.3,192000,64,2
1.6,192000,64,2
1.5,192000,64,2
1.5,192000,64,2
1.4,192000,64,2
1.4,192000,64,2
2.2,192000,64,2
1.7,192000,64,2
1.4,192000,64,2
1.9,192000,64,2
1.5,192000,64,2
1.7,192000,64,2
1.8,192000,64,2
1.4,192000,64,2
1.7,192000,64,2
1.3,192000,64,2
1.8,192000,64,2
1.3,192000,64,2
1.9,192000,64,2
1.5,192000,64,2
2.2,192000,64,2
1.6,192000,64,2
1.9,192000,64,2
1.9,192000,64,2
1.9,192000,64,2
2.1,192000,64,2
1.9,192000,64,2
2,192000,64,2
2.2,192000,64,2
1.5,192000,64,2
1.9,192000,64,2
1.7,192000,64,2
1.4,192000,64,2
1.7,192000,64,2
2.2,192000,64,2
2.2,192000,64,2
1.9,192000,64,2
1.8,192000,64,2
1.6,192000,64,2
1.4,192000,64,2
1.5,192000,64,2
1.5,192000,64,2
1.5,192000,64,2
2.2,192000,64,2
1.3,192000,64,2
2.3,192000,64,2
1.3,192000,64,2
1.9,192000,64,2
1.7,192000,64,2
1.7,192000,64,2
1.3,192000,64,2
1.8,192000,64,2
1.5,192000,64,2
1.2,192000,64,2
1.9,192000,64,2
2,192000,64,2
1.4,192000,64,2
1.1,192000,64,2
1.4,192000,64,2
1.5,192000,64,2
1.9,192000,64,2
2.2,192000,64,2
1.6,192000,64,2
2.3,192000,64,2
1.8,192000,64,2
1.3,192000,64,2
1.4,192000,64,2
2,192000,64,2
1.9,192000,64,2
1.9,192000,64,2
1.2,192000,64,2
1.6,192000,64,2
2,192000,64,2
1.3,192000,64,2
1.5,192000,64,2
2.1,192000,64,2
1.4,192000,64,2
2.2,192000,64,2
1.8,192000,64,2
1.8,192000,64,2
1.7,192000,64,2
1.8,192000,64,2
2.3,192000,64,2
1.5,192000,64,2
2.1,192000,64,2
2.1,192000,64,2
1.5,192000,64,2
2.2,192000,64,2
1.7,192000,64,2
1.6,192000,64,2
1.2,192000,64,2
1.2,192000,64,2
2.3,192000,64,2
1.6,192000,64,2
2,192000,64,2
1.6,192000,64,2
2.3,192000,64,2
1.9,192000,64,2
1.9,192000,64,2
2.1,192000,64,2
2.1,192000,64,2
1.4,192000,64,2
1.7,192000,64,2
2.2,192000,64,2
1.3,192000,64,2
2.2,192000,64,2
1.7,192000,64,2
1.9,192000,64,2
1.6,192000,64,2
2.2,192000,64,2
2,192000,64,2
1.9,192000,64,2
2,192000,64,2
1.9,192000,64,2
1.6,192000,64,2
2,192000,64,2
1.7,192000,64,2
2.3,192000,64,2
1.6,192000,64,2
2.1,192000,64,2
1.2,192000,64,2
1.4,192000,64,2
1.6,192000,64,2
2.3,192000,64,2
1.7,192000,64,2
1.2,192000,64,2
2,192000,64,2
1.8,192000,64,2
