group,latencies
"(1, 0)",0.000446
"(1, 1)",0.00043
"(1, 2)",0.00047
"(1, 3)",0.000518
"(1, 4)",0.000515
"(1, 5)",0.000525
"(1, 6)",0.000438
"(1, 7)",0.000465
"(1, 8)",0.000518
"(1, 9)",0.000482
"(2, 0)",0.000462
"(2, 1)",0.000434
"(2, 2)",0.00049
"(2, 3)",0.000498
"(2, 4)",0.000515
"(2, 5)",0.000515
"(2, 6)",0.000474
"(2, 7)",0.000485
"(2, 8)",0.000462
"(2, 9)",0.000502
"(3, 0)",0.000486
"(3, 1)",0.000446
"(3, 2)",0.000414
"(3, 3)",0.00049
"(3, 4)",0.000465
"(3, 5)",0.000465
"(3, 6)",0.000518
"(3, 7)",0.000415
"(3, 8)",0.000494
"(3, 9)",0.000446
"(4, 0)",0.000418
"(4, 1)",0.00045
"(4, 2)",0.00043
"(4, 3)",0.000474
"(4, 4)",0.000515
"(4, 5)",0.000495
"(4, 6)",0.000466
"(4, 7)",0.000465
"(4, 8)",0.00045
"(4, 9)",0.000502
"(5, 0)",0.000426
"(5, 1)",0.00049
"(5, 2)",0.000438
"(5, 3)",0.00057
"(5, 4)",0.000495
"(5, 5)",0.000555
"(5, 6)",0.000518
"(5, 7)",0.000485
"(5, 8)",0.000474
"(5, 9)",0.000434
"(6, 0)",0.000426
"(6, 1)",0.00043
"(6, 2)",0.00045
"(6, 3)",0.000562
"(6, 4)",0.000485
"(6, 5)",0.000525
"(6, 6)",0.00047
"(6, 7)",0.000415
"(6, 8)",0.000426
"(6, 9)",0.000454
"(7, 0)",0.00043
"(7, 1)",0.000434
"(7, 2)",0.000458
"(7, 3)",0.00055
"(7, 4)",0.000535
"(7, 5)",0.000485
"(7, 6)",0.000506
"(7, 7)",0.000455
"(7, 8)",0.000466
"(7, 9)",0.000478
"(8, 0)",0.000446
"(8, 1)",0.000442
"(8, 2)",0.000462
"(8, 3)",0.000538
"(8, 4)",0.000495
"(8, 5)",0.000515
"(8, 6)",0.000458
"(8, 7)",0.000475
"(8, 8)",0.000502
