,latency,latency,latency,latency,recv_time,recv_time,recv_time,recv_time,send_time,send_time,send_time,send_time,trial_num,trial_num,trial_num,trial_num
,median,count,q1,q3,median,count,q1,q3,median,count,q1,q3,median,count,q1,q3
session,,,,,,,,,,,,,,,,
1,,0,,,,543,,,,544,,,0.0,2174,0.0,0.0
3,0.001709,1000,,,,1000,2022-04-29 20:02:15.635619000,,,1000,2022-04-29 20:02:15.633890250,,0.0,3000,0.0,249.25
5,0.0013750000000000001,1000,,,1850-01-09 22:10:23.309797376,1000,2022-04-29 20:08:05.055826250,,1850-01-09 22:10:23.303108096,1000,2022-04-29 20:08:05.054426500,,0.0,2000,0.0,499.25
7,0.001786,1000,0.0014620000000000002,0.0018410000000000002,2022-04-29 20:16:58.078542848,1000,2022-04-29 20:16:57.065669500,2022-04-29 20:16:59.137097250,2022-04-29 20:16:58.076744448,1000,2022-04-29 20:16:57.063931250,2022-04-29 20:16:59.135262000,499.5,1000,249.75,749.25
8,0.0017350000000000002,1000,0.001709,0.0017662500000000002,2022-04-29 20:30:07.012010496,1000,2022-04-29 20:30:06.013838250,2022-04-29 20:30:08.004502750,2022-04-29 20:30:07.010170112,1000,2022-04-29 20:30:06.012110500,2022-04-29 20:30:08.002732250,499.5,1000,249.75,749.25
9,0.001178,439,0.0011580000000000002,0.0013975,2022-04-29 20:31:07.560176128,439,2022-04-29 20:31:07.236043000,2022-04-29 20:31:07.916810500,2022-04-29 20:31:07.558992896,439,2022-04-29 20:31:07.234882000,2022-04-29 20:31:07.915369500,219.0,439,109.5,328.5
10,0.001726,1000,0.00140575,0.001765,2022-04-29 20:33:41.171949568,1000,2022-04-29 20:33:40.157963250,2022-04-29 20:33:42.157265750,2022-04-29 20:33:41.170168064,1000,2022-04-29 20:33:40.156040750,2022-04-29 20:33:42.155955250,499.5,1000,249.75,749.25
12,0.0014060000000000001,787,0.0011870000000000001,0.0014345,2022-04-29 20:36:22.357784064,787,2022-04-29 20:36:21.745094000,2022-04-29 20:36:23.015651000,2022-04-29 20:36:22.356431872,787,2022-04-29 20:36:21.743933500,2022-04-29 20:36:23.014244500,393.0,787,196.5,589.5
14,0.0017120000000000002,1000,0.001691,0.0017382500000000002,2022-05-10 17:20:46.136606720,1000,2022-05-10 17:20:45.139622500,2022-05-10 17:20:47.109193000,2022-05-10 17:20:46.134809600,1000,2022-05-10 17:20:45.137910750,2022-05-10 17:20:47.107482500,499.5,1000,249.75,749.25
16,0.001541,1000,0.001513,0.001562,2022-05-10 17:41:36.699047424,1000,2022-05-10 17:41:35.708688000,2022-05-10 17:41:37.681068000,2022-05-10 17:41:36.697464832,1000,2022-05-10 17:41:35.707122750,2022-05-10 17:41:37.679545000,499.5,1000,249.75,749.25
17,0.014385,1,0.014385,0.014385,2022-05-10 17:52:25.828869120,1,2022-05-10 17:52:25.828869000,2022-05-10 17:52:25.828869000,2022-05-10 17:52:25.814483968,1,2022-05-10 17:52:25.814484000,2022-05-10 17:52:25.814484000,0.0,1,0.0,0.0
18,0.0016090000000000002,1000,0.0010320000000000001,0.001628,2022-05-10 17:54:09.673559040,1000,2022-05-10 17:54:07.480494250,2022-05-10 17:54:11.885134750,2022-05-10 17:54:09.671894528,1000,2022-05-10 17:54:07.478886250,2022-05-10 17:54:11.884118250,499.5,1000,249.75,749.25
19,0.001551,1000,0.0015270000000000001,0.001569,2022-05-10 17:57:18.625965056,1000,2022-05-10 17:57:16.488427250,2022-05-10 17:57:20.873956500,2022-05-10 17:57:18.624354560,1000,2022-05-10 17:57:16.486867000,2022-05-10 17:57:20.872386250,499.5,1000,249.75,749.25
20,0.0009760000000000001,10000,0.0009630000000000001,0.0010632500000000002,2022-05-10 18:02:41.538592000,10000,2022-05-10 18:02:08.814609750,2022-05-10 18:03:14.250167500,2022-05-10 18:02:41.536912384,10000,2022-05-10 18:02:08.813638500,2022-05-10 18:03:14.249173750,4999.5,10000,2499.75,7499.25
