group,latencies
1,0.00193
2,0.00123
3,0.00193
4,0.00173
5,0.00163
6,0.00123
7,0.00167
8,0.00095
9,0.00105
10,0.00103
11,0.00115
12,0.00117
13,0.00097
14,0.00159
15,0.00091
16,0.00105
17,0.00107
18,0.00183
19,0.00185
20,0.00115
21,0.00157
22,0.00205
23,0.00221
24,0.00117
25,0.00111
26,0.00179
27,0.00189
28,0.00153
29,0.00117
30,0.00121
31,0.00139
32,0.00157
33,0.00187
34,0.00151
35,0.00127
36,0.00169
37,0.00089
38,0.00097
39,0.00109
40,0.00135
41,0.00115
42,0.00115
43,0.00111
44,0.00119
45,0.00191
46,0.00149
47,0.00205
48,0.00291
49,0.00183
50,0.00105
51,0.00177
52,0.00095
53,0.00189
54,0.00089
55,0.00093
56,0.00107
57,0.00305
58,0.00199
59,0.00201
60,0.00171
61,0.00155
62,0.00151
63,0.00223
64,0.00175
65,0.00167
66,0.00111
67,0.00213
68,0.00135
69,0.00197
70,0.00103
71,0.00185
72,0.00113
73,0.00183
74,0.00163
75,0.00169
76,0.00111
77,0.00317
78,0.00157
79,0.00097
80,0.00103
81,0.00115
82,0.00107
83,0.00117
84,0.00187
85,0.00117
86,0.00175
87,0.00167
88,0.00159
89,0.00151
90,0.00179
91,0.00149
92,0.00305
93,0.00321
94,0.00723
95,0.00473
96,0.00105
97,0.00141
98,0.00107
99,0.00291
100,0.00133
101,0.00137
102,0.00165
103,0.00153
104,0.00325
105,0.00125
106,0.00117
107,0.00093
108,0.00119
109,0.00095
110,0.00161
111,0.00159
112,0.00123
113,0.00107
114,0.00187
115,0.00165
116,0.00107
117,0.00117
118,0.00169
119,0.00157
120,0.00103
121,0.00161
122,0.00191
123,0.00323
124,0.00427
125,0.00207
126,0.00101
127,0.00183
128,0.00117
129,0.00187
130,0.00199
131,0.00179
132,0.00323
133,0.00093
134,0.00101
135,0.00105
136,0.00341
137,0.00291
138,0.00155
139,0.00173
140,0.00191
141,0.00141
142,0.00189
143,0.00117
144,0.00125
145,0.00109
146,0.00137
147,0.00201
148,0.00129
149,0.00173
