group,latencies
1,0.00183
2,0.00181
3,0.00195
4,0.00195
5,0.00087
6,0.00095
7,0.00105
8,0.00129
9,0.00085
10,0.00187
11,0.00183
12,0.00115
13,0.00115
14,0.00115
15,0.00105
16,0.00179
17,0.00147
18,0.00149
19,0.00149
20,0.00099
21,0.00103
22,0.00191
23,0.00111
24,0.00099
25,0.00153
26,0.00111
27,0.00129
28,0.00203
29,
30,0.00113
31,0.00103
32,0.00133
33,0.00135
34,0.00121
35,0.00109
36,0.00161
37,0.00131
38,0.00185
39,0.00137
40,0.00105
41,0.00179
42,0.00099
43,0.00157
44,0.00129
45,0.00169
46,0.00137
47,0.00127
48,0.00181
49,0.00089
50,0.00151
51,0.00115
52,0.00179
53,0.00141
54,0.00107
55,0.00117
56,0.00165
57,0.00129
58,0.00179
59,0.00095
60,0.00179
61,0.00105
62,0.00185
63,0.00151
64,0.00101
65,0.00167
66,0.00197
67,0.00197
68,0.00187
69,0.00102
70,0.00187
71,0.00107
72,0.00105
73,0.00095
74,0.00153
75,0.00115
76,0.00127
77,0.00119
78,0.00169
79,0.00149
80,0.00163
81,0.00181
82,0.00197
83,0.00123
84,0.00139
85,0.00101
86,0.00131
87,0.00145
88,0.00191
89,0.00085
90,0.00095
91,0.00195
92,0.00189
93,0.00101
94,0.00191
95,0.00103
96,0.00135
97,0.00097
98,0.00185
99,0.00083
100,0.00117
101,0.00091
102,0.00157
103,0.00135
104,0.00195
105,0.00101
106,0.00185
107,0.00149
108,0.00129
109,0.00095
110,0.00167
111,0.00117
112,0.00163
113,0.00095
114,0.00085
115,0.00109
116,0.00137
117,0.00083
118,0.00119
119,0.00101
120,0.00165
121,0.00111
122,0.00147
123,0.00195
124,0.00112
125,0.00113
126,0.00151
127,0.00133
128,0.00113
129,0.00113
130,0.00113
131,0.00189
132,0.00113
133,0.00157
134,0.00157
135,0.00105
136,0.00111
137,0.00195
138,0.00083
139,0.00085
140,0.00097
141,0.00179
142,0.00129
143,0.00111
144,0.00111
145,0.00159
146,0.00123
147,0.00141
148,0.00105
149,0.00189
150,0.00157
151,0.00107
152,0.00195
153,0.00109
154,0.00171
155,0.00135
156,0.00185
157,0.00145
158,0.00145
159,0.00147
160,0.00111
161,0.00085
162,0.00139
163,0.00137
164,0.00099
165,0.00165
166,0.00113
167,0.00135
168,0.00109
169,0.00173
170,0.00091
171,0.00099
172,0.00179
173,0.00085
174,0.00187
175,0.00117
176,0.00197
177,0.00083
178,0.00197
179,0.00185
180,0.00117
181,0.00181
182,0.00163
183,0.00127
184,0.00107
185,0.00095
186,0.00123
187,0.00175
188,0.00083
189,0.00179
190,0.00195
191,0.00113
192,0.00095
193,0.00107
194,0.00179
195,0.00095
196,0.00183
197,0.00179
198,0.00187
199,0.00189
200,0.00195
201,0.00115
202,0.00101
203,0.00189
204,0.00107
205,0.00097
206,0.00101
207,0.00099
208,0.00087
209,0.00095
210,0.00185
211,0.00193
212,0.00091
213,0.00091
214,0.00103
215,0.00205
216,0.00193
217,0.00195
218,0.00151
219,0.00153
220,0.00155
221,0.00183
222,0.00185
223,0.00155
224,0.00207
225,0.00127
226,0.00131
227,0.00187
228,0.00149
229,0.00163
230,0.00115
231,0.00149
232,0.00149
233,0.00147
234,0.00149
235,0.00147
236,0.00131
237,0.00131
238,0.00147
239,0.00131
240,0.00165
241,0.00149
242,0.00099
243,0.00149
244,0.00197
245,0.00149
246,0.00181
247,0.00181
248,0.00165
249,0.00097
250,0.00099
251,0.00165
252,0.00149
253,0.00197
254,0.00165
255,0.00117
256,0.00179
257,0.00187
258,0.00137
259,0.00123
260,0.00127
261,0.00111
262,0.00085
263,0.00103
264,0.00105
265,0.00181
266,0.00185
267,0.00105
