subject,step,task,n_trials
646,S00_Free Water,gap_laser_PV,264
646,S01_request_rewards,gap_laser_PV,466
646,S02_long_gap,gap_laser_PV,4787
646,S03_gap_128,gap_laser_PV,500
646,S04_gap_64,gap_laser_PV,500
646,S05_gap_all,gap_laser_PV,1000
646,S06_2AFC_Gap_Laser,gap_laser_PV,14954
92,S00_2AFC_Gap,gap_laser,98
92,S01_2AFC_Gap_Laser,gap_laser,0
92,S00_Free Water,gap_detection,201
92,S01_request_rewards,gap_detection,301
92,S02_long_gap,gap_detection,1895
92,S03_gap_128,gap_detection,858
92,S04_gap_64,gap_detection,500
92,S05_gap_all,gap_detection,48960
681,S00_Free Water,gap_laser_PV,220
681,S01_request_rewards,gap_laser_PV,301
681,S02_long_gap,gap_laser_PV,3196
681,S03_gap_128,gap_laser_PV,648
681,S04_gap_64,gap_laser_PV,975
681,S05_gap_all,gap_laser_PV,2737
681,S06_2AFC_Gap_Laser,gap_laser_PV,11309
1009,S00_Free Water,gap_laser_PV,90
1009,S01_request_rewards,gap_laser_PV,0
1009,S02_long_gap,gap_laser_PV,0
1009,S03_gap_128,gap_laser_PV,0
1009,S04_gap_64,gap_laser_PV,0
1009,S05_gap_all,gap_laser_PV,0
1009,S06_2AFC_Gap_Laser,gap_laser_PV,0
9417,S00_Free Water,speech_discrim_stepped,201
9417,S01_reqrewards,speech_discrim_stepped,301
9417,S02_tonediscrim,speech_discrim_stepped,2493
9417,S03_speech_1,speech_discrim_stepped,14728
9417,S04_speech_2,speech_discrim_stepped,1790
9417,S05_speech_3,speech_discrim_stepped,0
9417,S06_speech_4,speech_discrim_stepped,0
9417,S07_speech_5,speech_discrim_stepped,0
9417,S08_speech_6,speech_discrim_stepped,0
9417,S09_speech_7,speech_discrim_stepped,0
9417,S10_speech_8,speech_discrim_stepped,0
9417,S11_speech_9,speech_discrim_stepped,0
9417,S12_speech_10,speech_discrim_stepped,0
9417,S13_speech_11,speech_discrim_stepped,0
9417,S14_speech_12,speech_discrim_stepped,0
9417,S15_speech_13,speech_discrim_stepped,0
9417,S16_speech_14,speech_discrim_stepped,0
9417,S17_speech_15,speech_discrim_stepped,0
9417,S18_speech_16,speech_discrim_stepped,0
9417,S19_speech_17,speech_discrim_stepped,0
9417,S20_speech_18,speech_discrim_stepped,0
9417,S21_speech_19,speech_discrim_stepped,0
9417,S22_speech_20,speech_discrim_stepped,0
9417,S23_speech_21,speech_discrim_stepped,0
9417,S24_speech_22,speech_discrim_stepped,0
9417,S25_speech_23,speech_discrim_stepped,0
9417,S26_speech_24,speech_discrim_stepped,0
9417,S27_speech_25,speech_discrim_stepped,0
9417,S28_speech_26,speech_discrim_stepped,0
9417,S29_speech_27,speech_discrim_stepped,0
149,S00_Free Water,gap_laser_PV,201
149,S01_request_rewards,gap_laser_PV,301
149,S02_long_gap,gap_laser_PV,2680
149,S03_gap_128,gap_laser_PV,1
149,S04_gap_64,gap_laser_PV,1653
149,S05_gap_all,gap_laser_PV,3192
149,S06_2AFC_Gap_Laser,gap_laser_PV,36821
9516,S00_Free Water,speech_discrim_stepped,0
9516,S01_reqrewards,speech_discrim_stepped,301
9516,S02_tonediscrim,speech_discrim_stepped,21843
9516,S03_speech_1,speech_discrim_stepped,6953
9516,S04_speech_2,speech_discrim_stepped,0
9516,S05_speech_3,speech_discrim_stepped,0
9516,S06_speech_4,speech_discrim_stepped,0
9516,S07_speech_5,speech_discrim_stepped,0
9516,S08_speech_6,speech_discrim_stepped,0
9516,S09_speech_7,speech_discrim_stepped,0
9516,S10_speech_8,speech_discrim_stepped,0
9516,S11_speech_9,speech_discrim_stepped,0
9516,S12_speech_10,speech_discrim_stepped,0
9516,S13_speech_11,speech_discrim_stepped,0
9516,S14_speech_12,speech_discrim_stepped,0
9516,S15_speech_13,speech_discrim_stepped,0
9516,S16_speech_14,speech_discrim_stepped,0
9516,S17_speech_15,speech_discrim_stepped,0
9516,S18_speech_16,speech_discrim_stepped,0
9516,S19_speech_17,speech_discrim_stepped,0
9516,S20_speech_18,speech_discrim_stepped,0
9516,S21_speech_19,speech_discrim_stepped,0
9516,S22_speech_20,speech_discrim_stepped,0
9516,S23_speech_21,speech_discrim_stepped,0
9516,S24_speech_22,speech_discrim_stepped,0
9516,S25_speech_23,speech_discrim_stepped,0
9516,S26_speech_24,speech_discrim_stepped,0
9516,S27_speech_25,speech_discrim_stepped,0
9516,S28_speech_26,speech_discrim_stepped,0
9516,S29_speech_27,speech_discrim_stepped,0
9516,S00_Free Water,speech_discrim,201
9516,S01_reqrewards,speech_discrim,70
9516,S02_tonediscrim,speech_discrim,0
9516,S03_speech_1,speech_discrim,0
9516,S04_speech_2,speech_discrim,0
9516,S05_speech_3,speech_discrim,0
9522,S00_Free Water,speech_discrim_stepped,0
9522,S01_reqrewards,speech_discrim_stepped,301
9522,S02_tonediscrim,speech_discrim_stepped,7835
9522,S03_speech_1,speech_discrim_stepped,40831
9522,S04_speech_2,speech_discrim_stepped,0
9522,S05_speech_3,speech_discrim_stepped,0
9522,S06_speech_4,speech_discrim_stepped,0
9522,S07_speech_5,speech_discrim_stepped,0
9522,S08_speech_6,speech_discrim_stepped,0
9522,S09_speech_7,speech_discrim_stepped,0
9522,S10_speech_8,speech_discrim_stepped,0
9522,S11_speech_9,speech_discrim_stepped,0
9522,S12_speech_10,speech_discrim_stepped,0
9522,S13_speech_11,speech_discrim_stepped,0
9522,S14_speech_12,speech_discrim_stepped,0
9522,S15_speech_13,speech_discrim_stepped,0
9522,S16_speech_14,speech_discrim_stepped,0
9522,S17_speech_15,speech_discrim_stepped,0
9522,S18_speech_16,speech_discrim_stepped,0
9522,S19_speech_17,speech_discrim_stepped,0
9522,S20_speech_18,speech_discrim_stepped,0
9522,S21_speech_19,speech_discrim_stepped,0
9522,S22_speech_20,speech_discrim_stepped,0
9522,S23_speech_21,speech_discrim_stepped,0
9522,S24_speech_22,speech_discrim_stepped,0
9522,S25_speech_23,speech_discrim_stepped,0
9522,S26_speech_24,speech_discrim_stepped,0
9522,S27_speech_25,speech_discrim_stepped,0
9522,S28_speech_26,speech_discrim_stepped,0
9522,S29_speech_27,speech_discrim_stepped,0
9522,S00_Free Water,speech_discrim,270
9522,S01_reqrewards,speech_discrim,73
9522,S02_tonediscrim,speech_discrim,0
9522,S03_speech_1,speech_discrim,0
9522,S04_speech_2,speech_discrim,0
9522,S05_speech_3,speech_discrim,0
8819,S00_Free Water,speech_discrim,402
8819,S01_reqrewards,speech_discrim,3169
8819,S02_tonediscrim,speech_discrim,11707
8819,S03_speech_1,speech_discrim,0
8819,S04_speech_2,speech_discrim,0
8819,S05_speech_3,speech_discrim,0
9476,S00_Free Water,speech_discrim_stepped,0
9476,S01_reqrewards,speech_discrim_stepped,301
9476,S02_tonediscrim,speech_discrim_stepped,3027
9476,S03_speech_1,speech_discrim_stepped,6496
9476,S04_speech_2,speech_discrim_stepped,13050
9476,S05_speech_3,speech_discrim_stepped,0
9476,S06_speech_4,speech_discrim_stepped,0
9476,S07_speech_5,speech_discrim_stepped,0
9476,S08_speech_6,speech_discrim_stepped,0
9476,S09_speech_7,speech_discrim_stepped,0
9476,S10_speech_8,speech_discrim_stepped,0
9476,S11_speech_9,speech_discrim_stepped,0
9476,S12_speech_10,speech_discrim_stepped,0
9476,S13_speech_11,speech_discrim_stepped,0
9476,S14_speech_12,speech_discrim_stepped,0
9476,S15_speech_13,speech_discrim_stepped,0
9476,S16_speech_14,speech_discrim_stepped,0
9476,S17_speech_15,speech_discrim_stepped,0
9476,S18_speech_16,speech_discrim_stepped,0
9476,S19_speech_17,speech_discrim_stepped,0
9476,S20_speech_18,speech_discrim_stepped,0
9476,S21_speech_19,speech_discrim_stepped,0
9476,S22_speech_20,speech_discrim_stepped,0
9476,S23_speech_21,speech_discrim_stepped,0
9476,S24_speech_22,speech_discrim_stepped,0
9476,S25_speech_23,speech_discrim_stepped,0
9476,S26_speech_24,speech_discrim_stepped,0
9476,S27_speech_25,speech_discrim_stepped,0
9476,S28_speech_26,speech_discrim_stepped,0
9476,S29_speech_27,speech_discrim_stepped,0
9476,S00_Free Water,speech_discrim,202
9476,S01_reqrewards,speech_discrim,21
9476,S02_tonediscrim,speech_discrim,0
9476,S03_speech_1,speech_discrim,0
9476,S04_speech_2,speech_discrim,0
9476,S05_speech_3,speech_discrim,0
128,S00_2AFC_Gap,gap_laser2,1715
128,S00_Nafc_Gap,gap_laser2,0
128,S01_2AFC_Gap_Laser,gap_laser2,71123
128,S01_Nafc_Gap_Laser,gap_laser2,0
128,S00_2AFC_Gap,gap_laser,9038
128,S01_2AFC_Gap_Laser,gap_laser,0
128,S00_Free Water,gap_detection,201
128,S01_request_rewards,gap_detection,301
128,S02_long_gap,gap_detection,3177
128,S03_gap_128,gap_detection,979
128,S04_gap_64,gap_detection,1158
128,S05_gap_all,gap_detection,102868
9239,S00_Free Water,speech_discrim_stepped,201
9239,S01_reqrewards,speech_discrim_stepped,301
9239,S02_tonediscrim,speech_discrim_stepped,19287
9239,S03_speech_1,speech_discrim_stepped,16258
9239,S04_speech_2,speech_discrim_stepped,0
